,Galaxy,re (kpc),rotational velocity,rotational velocity mass (solar mass),star formation rate,star formation density,assymetry,eta average vrot
362,8937-12703,8.072494237970139,0.0,-0.66009617,0.0,-0.66009617,-0.0032243475790176405,2.0399416171319826
363,8937-12704,5.502018631132168,0.0,-0.31416017,0.0,-0.31416017,-0.0033033693483265924,9.473044802124477
364,8937-6102,2.9048846106541157,0.0,-1.3702776,0.0,-1.3702776,-0.05168933296374693,1.5827878523338732
365,8938-12705,2.743565923306587,0.0,-1.966967,0.0,-1.966967,-0.08317951774140409,4.786881508600061
366,8939-6101,2.5702494833226623,0.0,-0.38497114,0.0,-0.38497114,-0.018549309237099857,2.580628792758633
367,8940-12703,4.88795074050441,0.0,-0.05399973,0.0,-0.05399973,-0.0007194292153990179,8.091431152912998
368,8940-12705,7.506873524463334,0.0,-0.16035506,0.0,-0.16035506,-0.0009057630533049323,5.753151743200551
369,8941-12704,3.911777261681689,0.0,-0.919437,0.0,-0.919437,-0.01912598734166073,3.417770359272845
370,8941-6102,3.667234311701527,0.0,-0.67568177,0.0,-0.67568177,-0.015992450319185753,5.244354781690394
371,8942-1901,3.58404967808889,0.0,-0.6614796,0.0,-0.6614796,-0.016391493880304517,3.8580161470197414
372,8942-6103,3.0275798003995145,0.0,-0.4484477,0.0,-0.4484477,-0.015572944448272001,4.11049145792854
373,8943-1901,1.969847421031578,0.0,-0.1924709,0.0,-0.1924709,-0.015788832330980513,12.84061272787454
374,8944-12702,6.77444578042966,0.0,0.22346169,0.0,0.22346169,0.0015499070689730474,5.968470915000269
375,8944-12705,6.537336812417426,0.0,0.15226491,0.0,0.15226491,0.00113409185050269,7.878283988817969
376,8944-3701,6.141978448832195,0.0,-0.08174402,0.0,-0.08174402,-0.0006897465812866009,6.029630694304165
377,8944-6101,3.8536104261115183,0.0,-0.23728627,0.0,-0.23728627,-0.005086126055494879,2.9205099237334515
378,8945-12704,7.523566943549357,0.0,-1.2205069,0.0,-1.2205069,-0.006863454981112087,6.598189944609679
379,8945-9101,4.754060071005908,0.0,-0.06806261,0.0,-0.06806261,-0.000958582292281312,6.483244468750266
380,8946-12704,4.354500822756024,0.0,-0.5011905,0.0,-0.5011905,-0.008413490129948808,1.936775320698278
381,8946-3702,2.588990789670969,0.0,-1.017191,0.0,-1.017191,-0.048304951205558236,3.482981941086474
382,8947-12701,14.196201726892438,0.0,0.50813955,0.0,0.50813955,0.0008025808675422665,21.831082369915052
383,8947-12705,7.610642966385436,0.0,-0.25017008,0.0,-0.25017008,-0.0013748103745119472,4.065160927140891
384,8950-12701,5.7556114413767405,0.0,0.0530728,0.0,0.0530728,0.0005099636081698593,5.85877748582466
385,8950-12705,5.7138759875868,0.0,0.18264627,0.0,0.18264627,0.0017807351238676304,8.69629557444194
386,8950-1901,2.4916366984100207,0.0,-0.046462,0.0,-0.046462,-0.0023822019987575936,7.688926149157739
387,8950-9101,4.444247231871354,0.0,-0.73484844,0.0,-0.73484844,-0.011842720578769929,3.3949788973921047
388,8977-12701,13.419631804349944,0.0,0.61190474,0.0,0.61190474,0.0010815652979963737,5.697979393937457
389,8977-12704,3.0295975640194657,0.0,-2.7652407,0.0,-2.7652407,-0.09589880093719039,12.710941342819524
390,8978-12701,11.610164532946312,0.0,-0.16438358,0.0,-0.16438358,-0.0003881787888204364,13.565284032133388
391,8978-12704,7.326051069729829,0.0,-0.4520977,0.0,-0.4520977,-0.002681282383017426,6.770708864096413
392,8978-6102,4.928133959474797,0.0,-0.46709666,0.0,-0.46709666,-0.006121979582249227,4.997285808946042
393,8979-6101,4.372101564697979,0.0,-0.14454983,0.0,-0.14454983,-0.0024070617603590464,7.538905657621369
394,8980-9101,4.92111375734012,0.0,0.070000075,0.0,0.070000075,0.0009200720177571777,12.820527952734295
395,8980-9102,4.190621526495338,0.0,-0.58063644,0.0,-0.58063644,-0.010524404644727595,3.430771806389243
396,8981-12704,4.644377696083644,0.0,-0.81854284,0.0,-0.81854284,-0.012079152902024961,2.4961983925550615
397,8981-1902,1.8409933131657448,0.0,-1.025974,0.0,-1.025974,-0.09635673488849741,2.0238707693796734
398,8981-3703,2.587796909913016,0.0,0.0040160795,0.0,0.0040160795,0.0001908938978635953,12.66413954365126
399,8981-9102,4.222375954319927,0.0,-0.7771185,0.0,-0.7771185,-0.013874699251479787,2.066499799889512
400,8982-12701,6.056392758758589,0.0,-0.49331304,0.0,-0.49331304,-0.004280994438124891,2.291828429584476
401,8982-12702,3.9374146434790815,0.0,-0.67822343,0.0,-0.67822343,-0.01392517342665053,3.8862188809688183
402,8983-6103,3.947398238772047,0.0,-0.52874315,0.0,-0.52874315,-0.010801224517479049,3.1677191159811753
403,8984-6101,3.655934962131164,0.0,-0.45630515,0.0,-0.45630515,-0.010866972592587835,4.191658429195051
404,8985-12704,3.417120119912593,0.0,-0.8108185,0.0,-0.8108185,-0.022103104747993665,3.4185486680658497
405,8986-12703,5.089634634853738,0.0,-0.7535211,0.0,-0.7535211,-0.009259175633725795,8.275464374036297
406,8986-12705,4.930531585618955,0.0,-0.21028022,0.0,-0.21028022,-0.00275334776591044,5.376513102482017
407,8987-12703,8.392478831088523,0.0,0.10597008,0.0,0.10597008,0.0004789088571549901,7.082476572997572
408,8987-12704,6.307750641492008,0.0,-0.6149193,0.0,-0.6149193,-0.004919480257062707,2.879392759603676
409,8987-12705,5.716775234923947,0.0,-0.5901448,0.0,-0.5901448,-0.005747864038367727,4.665195189896046
410,8987-3704,3.5927947669105813,0.0,-0.72612447,0.0,-0.72612447,-0.017905909210039726,2.141375933260572
411,8987-6101,2.703299337139097,0.0,-1.1275251,0.0,-1.1275251,-0.049112050463582246,2.169733575855316
412,8988-12702,5.612691783945131,0.0,-1.184009,0.0,-1.184009,-0.011963623214864764,1.6995861699650494
413,8988-12703,8.266272350647018,0.0,0.41782424,0.0,0.41782424,0.0019463652300210404,21.158966037354503
414,8988-1901,3.8628684655264536,0.0,-1.5321229,0.0,-1.5321229,-0.03268314770137554,1.8013167133094008
415,8988-3701,3.3563051512811977,0.0,-0.84373206,0.0,-0.84373206,-0.02384140248660805,3.459384026034514
416,8990-12701,5.546162101784975,0.0,-0.13246578,0.0,-0.13246578,-0.0013707830003748215,8.74280434091285
