#Column 1: Rest Wavelength (microns)
#Column 2: Luminosity (W/Hz)
#Column 3: DLnu (W/Hz)
wavelength luminosity  uncertainty
  37.500   7.776E+24   2.001E+24
  37.600   7.788E+24   1.998E+24
  37.700   7.799E+24   1.996E+24
  37.800   7.811E+24   1.993E+24
  37.900   7.822E+24   1.990E+24
  38.000   7.833E+24   1.987E+24
  38.100   7.844E+24   1.984E+24
  38.200   7.855E+24   1.981E+24
  38.300   7.865E+24   1.978E+24
  38.400   7.876E+24   1.975E+24
  38.500   7.886E+24   1.972E+24
  38.600   7.897E+24   1.969E+24
  38.700   7.907E+24   1.966E+24
  38.800   7.917E+24   1.963E+24
  38.900   7.928E+24   1.960E+24
  39.000   7.938E+24   1.957E+24
  39.100   7.948E+24   1.954E+24
  39.200   7.958E+24   1.951E+24
  39.300   7.968E+24   1.948E+24
  39.400   7.977E+24   1.945E+24
  39.500   7.987E+24   1.942E+24
  39.600   7.997E+24   1.939E+24
  39.700   8.007E+24   1.936E+24
  39.800   8.016E+24   1.932E+24
  39.900   8.026E+24   1.929E+24
  40.000   8.035E+24   1.926E+24
  40.100   8.045E+24   1.923E+24
  40.200   8.054E+24   1.920E+24
  40.300   8.064E+24   1.917E+24
  40.400   8.073E+24   1.914E+24
  40.500   8.083E+24   1.911E+24
  40.600   8.092E+24   1.907E+24
  40.700   8.102E+24   1.904E+24
  40.800   8.111E+24   1.901E+24
  40.900   8.120E+24   1.898E+24
  41.000   8.130E+24   1.895E+24
  41.100   8.139E+24   1.892E+24
  41.200   8.149E+24   1.889E+24
  41.300   8.158E+24   1.886E+24
  41.400   8.167E+24   1.883E+24
  41.500   8.177E+24   1.880E+24
  41.600   8.186E+24   1.877E+24
  41.700   8.196E+24   1.874E+24
  41.800   8.205E+24   1.871E+24
  41.900   8.215E+24   1.868E+24
  42.000   8.225E+24   1.865E+24
  42.100   8.234E+24   1.862E+24
  42.200   8.244E+24   1.859E+24
  42.300   8.254E+24   1.856E+24
  42.400   8.263E+24   1.853E+24
  42.500   8.273E+24   1.850E+24
  42.600   8.283E+24   1.847E+24
  42.700   8.293E+24   1.844E+24
  42.800   8.303E+24   1.842E+24
  42.900   8.313E+24   1.839E+24
  43.000   8.323E+24   1.836E+24
  43.100   8.333E+24   1.833E+24
  43.200   8.343E+24   1.831E+24
  43.300   8.354E+24   1.828E+24
  43.400   8.364E+24   1.825E+24
  43.500   8.375E+24   1.823E+24
  43.600   8.385E+24   1.820E+24
  43.700   8.396E+24   1.818E+24
  43.800   8.407E+24   1.815E+24
  43.900   8.418E+24   1.813E+24
  44.000   8.429E+24   1.810E+24
  44.100   8.440E+24   1.808E+24
  44.200   8.451E+24   1.806E+24
  44.300   8.462E+24   1.803E+24
  44.400   8.473E+24   1.801E+24
  44.500   8.485E+24   1.799E+24
  44.600   8.497E+24   1.797E+24
  44.700   8.508E+24   1.795E+24
  44.800   8.520E+24   1.793E+24
  44.900   8.532E+24   1.790E+24
  45.000   8.544E+24   1.789E+24
  45.100   8.556E+24   1.787E+24
  45.200   8.569E+24   1.785E+24
  45.300   8.581E+24   1.783E+24
  45.400   8.594E+24   1.781E+24
  45.500   8.607E+24   1.779E+24
  45.600   8.620E+24   1.778E+24
  45.700   8.633E+24   1.776E+24
  45.800   8.646E+24   1.774E+24
  45.900   8.659E+24   1.773E+24
  46.000   8.673E+24   1.771E+24
  46.100   8.686E+24   1.770E+24
  46.200   8.700E+24   1.769E+24
  46.300   8.714E+24   1.767E+24
  46.400   8.728E+24   1.766E+24
  46.500   8.742E+24   1.765E+24
  46.600   8.757E+24   1.764E+24
  46.700   8.771E+24   1.763E+24
  46.800   8.786E+24   1.762E+24
  46.900   8.801E+24   1.761E+24
  47.000   8.816E+24   1.760E+24
  47.100   8.831E+24   1.759E+24
  47.200   8.847E+24   1.759E+24
  47.300   8.863E+24   1.758E+24
  47.400   8.878E+24   1.757E+24
  47.500   8.894E+24   1.757E+24
  47.600   8.910E+24   1.757E+24
  47.700   8.927E+24   1.756E+24
  47.800   8.943E+24   1.756E+24
  47.900   8.960E+24   1.756E+24
  48.000   8.977E+24   1.755E+24
  48.100   8.994E+24   1.755E+24
  48.200   9.011E+24   1.755E+24
  48.300   9.029E+24   1.755E+24
  48.400   9.047E+24   1.756E+24
  48.500   9.064E+24   1.756E+24
  48.600   9.082E+24   1.756E+24
  48.700   9.101E+24   1.756E+24
  48.800   9.119E+24   1.757E+24
  48.900   9.138E+24   1.757E+24
  49.000   9.157E+24   1.758E+24
  49.100   9.176E+24   1.759E+24
  49.200   9.195E+24   1.760E+24
  49.300   9.215E+24   1.760E+24
  49.400   9.234E+24   1.761E+24
  49.500   9.254E+24   1.762E+24
  49.600   9.274E+24   1.763E+24
  49.700   9.295E+24   1.765E+24
  49.800   9.315E+24   1.766E+24
  49.900   9.336E+24   1.767E+24
  50.000   9.357E+24   1.769E+24
  50.100   9.378E+24   1.770E+24
  50.200   9.399E+24   1.772E+24
  50.300   9.421E+24   1.773E+24
  50.400   9.443E+24   1.775E+24
  50.500   9.465E+24   1.777E+24
  50.600   9.487E+24   1.779E+24
  50.700   9.510E+24   1.781E+24
  50.800   9.532E+24   1.783E+24
  50.900   9.555E+24   1.785E+24
  51.000   9.579E+24   1.788E+24
  51.100   9.602E+24   1.790E+24
  51.200   9.626E+24   1.792E+24
  51.300   9.649E+24   1.795E+24
  51.400   9.673E+24   1.798E+24
  51.500   9.698E+24   1.800E+24
  51.600   9.722E+24   1.803E+24
  51.700   9.747E+24   1.806E+24
  51.800   9.772E+24   1.809E+24
  51.900   9.797E+24   1.812E+24
  52.000   9.823E+24   1.815E+24
  52.100   9.848E+24   1.818E+24
  52.200   9.874E+24   1.822E+24
  52.300   9.900E+24   1.825E+24
  52.400   9.926E+24   1.829E+24
  52.500   9.953E+24   1.832E+24
  52.600   9.980E+24   1.836E+24
  52.700   1.001E+25   1.840E+24
  52.800   1.003E+25   1.843E+24
  52.900   1.006E+25   1.847E+24
  53.000   1.009E+25   1.851E+24
  53.100   1.012E+25   1.856E+24
  53.200   1.015E+25   1.860E+24
  53.300   1.017E+25   1.864E+24
  53.400   1.020E+25   1.868E+24
  53.500   1.023E+25   1.873E+24
  53.600   1.026E+25   1.877E+24
  53.700   1.029E+25   1.882E+24
  53.800   1.032E+25   1.887E+24
  53.900   1.035E+25   1.891E+24
  54.000   1.038E+25   1.896E+24
  54.100   1.041E+25   1.901E+24
  54.200   1.044E+25   1.906E+24
  54.300   1.047E+25   1.911E+24
  54.400   1.050E+25   1.916E+24
  54.500   1.053E+25   1.922E+24
  54.600   1.056E+25   1.927E+24
  54.700   1.060E+25   1.933E+24
  54.800   1.063E+25   1.938E+24
  54.900   1.066E+25   1.944E+24
  55.000   1.069E+25   1.949E+24
  55.100   1.072E+25   1.955E+24
  55.200   1.076E+25   1.961E+24
  55.300   1.079E+25   1.967E+24
  55.400   1.082E+25   1.973E+24
  55.500   1.086E+25   1.979E+24
  55.600   1.089E+25   1.985E+24
  55.700   1.092E+25   1.991E+24
  55.800   1.096E+25   1.997E+24
  55.900   1.099E+25   2.004E+24
  56.000   1.103E+25   2.010E+24
  56.100   1.106E+25   2.017E+24
  56.200   1.110E+25   2.023E+24
  56.300   1.113E+25   2.030E+24
  56.400   1.117E+25   2.036E+24
  56.500   1.120E+25   2.043E+24
  56.600   1.124E+25   2.050E+24
  56.700   1.128E+25   2.057E+24
  56.800   1.131E+25   2.064E+24
  56.900   1.135E+25   2.071E+24
  57.000   1.139E+25   2.078E+24
  57.100   1.142E+25   2.085E+24
  57.200   1.146E+25   2.092E+24
  57.300   1.150E+25   2.100E+24
  57.400   1.153E+25   2.107E+24
  57.500   1.157E+25   2.115E+24
  57.600   1.161E+25   2.122E+24
  57.700   1.165E+25   2.130E+24
  57.800   1.169E+25   2.137E+24
  57.900   1.173E+25   2.145E+24
  58.000   1.176E+25   2.153E+24
  58.100   1.180E+25   2.160E+24
  58.200   1.184E+25   2.168E+24
  58.300   1.188E+25   2.176E+24
  58.400   1.192E+25   2.184E+24
  58.500   1.196E+25   2.192E+24
  58.600   1.200E+25   2.200E+24
  58.700   1.204E+25   2.208E+24
  58.800   1.208E+25   2.216E+24
  58.900   1.212E+25   2.224E+24
  59.000   1.217E+25   2.233E+24
  59.100   1.221E+25   2.241E+24
  59.200   1.225E+25   2.249E+24
  59.300   1.229E+25   2.258E+24
  59.400   1.233E+25   2.266E+24
  59.500   1.237E+25   2.275E+24
  59.600   1.242E+25   2.283E+24
  59.700   1.246E+25   2.292E+24
  59.800   1.250E+25   2.300E+24
  59.900   1.254E+25   2.309E+24
  60.000   1.259E+25   2.318E+24
  60.100   1.263E+25   2.327E+24
  60.200   1.267E+25   2.335E+24
  60.300   1.272E+25   2.344E+24
  60.400   1.276E+25   2.353E+24
  60.500   1.280E+25   2.362E+24
  60.600   1.285E+25   2.371E+24
  60.700   1.289E+25   2.380E+24
  60.800   1.293E+25   2.389E+24
  60.900   1.298E+25   2.398E+24
  61.000   1.302E+25   2.407E+24
  61.100   1.307E+25   2.416E+24
  61.200   1.311E+25   2.425E+24
  61.300   1.316E+25   2.435E+24
  61.400   1.320E+25   2.444E+24
  61.500   1.325E+25   2.453E+24
  61.600   1.330E+25   2.462E+24
  61.700   1.334E+25   2.472E+24
  61.800   1.339E+25   2.481E+24
  61.900   1.343E+25   2.490E+24
  62.000   1.348E+25   2.500E+24
  62.100   1.353E+25   2.509E+24
  62.200   1.357E+25   2.519E+24
  62.300   1.362E+25   2.528E+24
  62.400   1.367E+25   2.538E+24
  62.500   1.371E+25   2.547E+24
  62.600   1.376E+25   2.557E+24
  62.700   1.381E+25   2.566E+24
  62.800   1.386E+25   2.576E+24
  62.900   1.390E+25   2.586E+24
  63.000   1.395E+25   2.595E+24
  63.100   1.400E+25   2.605E+24
  63.200   1.405E+25   2.615E+24
  63.300   1.410E+25   2.624E+24
  63.400   1.415E+25   2.634E+24
  63.500   1.419E+25   2.644E+24
  63.600   1.424E+25   2.654E+24
  63.700   1.429E+25   2.663E+24
  63.800   1.434E+25   2.673E+24
  63.900   1.439E+25   2.683E+24
  64.000   1.444E+25   2.693E+24
  64.100   1.449E+25   2.703E+24
  64.200   1.454E+25   2.713E+24
  64.300   1.459E+25   2.722E+24
  64.400   1.464E+25   2.732E+24
  64.500   1.469E+25   2.742E+24
  64.600   1.474E+25   2.752E+24
  64.700   1.479E+25   2.762E+24
  64.800   1.484E+25   2.772E+24
  64.900   1.489E+25   2.782E+24
  65.000   1.494E+25   2.792E+24
  65.100   1.499E+25   2.802E+24
  65.200   1.504E+25   2.812E+24
  65.300   1.509E+25   2.822E+24
  65.400   1.514E+25   2.832E+24
  65.500   1.520E+25   2.842E+24
  65.600   1.525E+25   2.852E+24
  65.700   1.530E+25   2.861E+24
  65.800   1.535E+25   2.871E+24
  65.900   1.540E+25   2.881E+24
  66.000   1.545E+25   2.891E+24
  66.100   1.550E+25   2.901E+24
  66.200   1.556E+25   2.911E+24
  66.300   1.561E+25   2.921E+24
  66.400   1.566E+25   2.931E+24
  66.500   1.571E+25   2.941E+24
  66.600   1.577E+25   2.951E+24
  66.700   1.582E+25   2.961E+24
  66.800   1.587E+25   2.971E+24
  66.900   1.592E+25   2.981E+24
  67.000   1.598E+25   2.991E+24
  67.100   1.603E+25   3.001E+24
  67.200   1.608E+25   3.011E+24
  67.300   1.613E+25   3.021E+24
  67.400   1.619E+25   3.031E+24
  67.500   1.624E+25   3.041E+24
  67.600   1.629E+25   3.051E+24
  67.700   1.635E+25   3.061E+24
  67.800   1.640E+25   3.071E+24
  67.900   1.645E+25   3.081E+24
  68.000   1.651E+25   3.091E+24
  68.100   1.656E+25   3.101E+24
  68.200   1.661E+25   3.111E+24
  68.300   1.667E+25   3.121E+24
  68.400   1.672E+25   3.131E+24
  68.500   1.678E+25   3.141E+24
  68.600   1.683E+25   3.150E+24
  68.700   1.688E+25   3.160E+24
  68.800   1.694E+25   3.170E+24
  68.900   1.699E+25   3.180E+24
  69.000   1.705E+25   3.190E+24
  69.100   1.710E+25   3.200E+24
